ntdid,4 Digit NTDID,name,reporter,mode,servicetype,time,Time Service Begins,Time Service Ends,veh_oper,veh_avai,Vehicles in Operation,vmt,vmt_rev,Deadhead Miles,Scheduled Revenue Miles,Total actual hours,Total actual revenue hours,Deadhead hours,Charter service hours,School bus hours,Trains in operation,Total actual miles,Total actual revenue miles,Deadhead Miles,Total actual hours,Total actual revenue hours,Deadhead hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service,pmt,Days of service operated,Days not operated due to strikes,Strike Comment,Days not operated due to officially declared emergencies,Emergency Comment,BRT Non-Statutory Mixed Traffic,Mixed Traffic Right of Way (ROW)
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,MB,PT,Average Weekday - Midday,9:30:00 AM,2:59:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,MB,PT,Average Weekday - PM Peak,3:00:00 PM,6:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,MB,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,MB,PT,Average Typical Weekday,4:46:00 AM,10:01:00 PM,,,32,4881,4152,729,4159,322,293,29,,,,,,,,,,3664,,,14801,255,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,MB,PT,Average Typical Saturday,6:50:00 AM,9:02:00 PM,,,21,2318,1899,419,1899,155,153,2,,,,,,,,,,2056,,,7090,52,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,MB,PT,Average Typical Sunday,9:15:00 AM,7:24:00 PM,,,5,521,423,98,423,33,29,4,,,,,,,,,,576,,,1555,58,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,MB,PT,Annual Total,,,32,48,,1395417,1182137,213280,1183812,92081,84321,7760,,,,,,,,,,1074519,,,4233247,,,,,,0,185
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,SR,DO,Average Weekday - AM Peak,6:00:00 AM,8:59:00 AM,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,SR,DO,Average Weekday - Midday,9:00:00 AM,2:17:00 PM,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,SR,DO,Average Weekday - PM Peak,2:18:00 PM,6:15:00 PM,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,SR,DO,Average Weekday - Other,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,SR,DO,Average Typical Weekday,5:35:00 AM,10:00:00 PM,,,3,186,185,1,195,37,36,1,,,3,186,185,1,37,36,1,2365,,,1923,255,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,SR,DO,Average Typical Saturday,5:35:00 AM,11:32:00 PM,,,2,191,191,0,191,36,35,1,,,2,191,191,0,36,35,1,1144,,,1140,52,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,SR,DO,Average Typical Sunday,9:35:00 AM,7:32:00 PM,,,2,105,104,1,105,20,19,1,,,2,105,104,1,20,19,1,769,,,763,56,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,SR,DO,Annual Total,,,3,3,,61857,61522,335,65495,12331,12154,177,,,,61857,61522,335,12331,12154,177,707712,,,594104,,,,,,0,0
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,TB,DO,Average Weekday - AM Peak,6:00:00 AM,9:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,TB,DO,Average Weekday - Midday,9:00:00 AM,3:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,TB,DO,Average Weekday - PM Peak,3:00:00 PM,6:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
