ntdid,name,ssw,mode,servicetype,time,Time Service Begins,Time Service Ends,veh_oper,vmt,vmt_rev,Deadhead Miles,Scheduled Vehicle Revenue Miles,Actual Vehicle Hours,Vehicle Revenue Hours,Deadhead Hours,Charter Service Hours,School Bus Hours,Train Cars in Operation,Actual Miles,Revenue Miles,Deadhead Miles,Actual Hours,Revenue Hours,Deadhead Hours,Unlinked Passenger Trips,ADA Trips,Sponsored Service Trips,pmt,Days of Service Operated,Days not operated due to strikes,Strike description,Days not operated due to officially declared emergencies,Emergency description
1,King County Department of Transportation - Metro Transit Division,N,SR,DO,Annual Total,,,,63634,63268,366,64427,12078,11905,173,,,,63634,63268,366,12078,11905,173,760933,,,653531,356,,,,
1,King County Department of Transportation - Metro Transit Division,N,SR,DO,Average Typical Saturday,535,2332,2,189,189,0,190,36,35,1,,,2,189,189,0,36,35,1,1230,,,1247,49,,,,
1,King County Department of Transportation - Metro Transit Division,N,SR,DO,Average Typical Sunday,935,1932,2,105,104,1,105,20,19,1,,,2,105,104,1,20,19,1,816,,,794,52,,,,
1,King County Department of Transportation - Metro Transit Division,N,SR,DO,Average Typical Weekday,535,2200,3,192,191,1,195,36,36,0,,,3,192,191,1,36,36,0,2577,,,2160,255,,,,
1,King County Department of Transportation - Metro Transit Division,N,SR,DO,Average Weekday - AM Peak,600,900,2,,32,,,,,,,,2,,,0,,,0,517,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,SR,DO,Average Weekday - Midday,900,1418,2,,64,,,,,,,,2,,,0,,,0,865,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,SR,DO,Average Weekday - Other,,,2,,47,,,,,,,,2,,,0,,,0,300,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,SR,DO,Average Weekday - PM Peak,1418,1815,3,,48,,,,,,,,3,,,0,,,0,896,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,TB,DO,Annual Total,,,,2957234,2845187,112047,3610863,430869,416118,14751,,,,,,,,,,19008029,,,35187039,365,,,,
1,King County Department of Transportation - Metro Transit Division,N,TB,DO,Average Typical Saturday,0,2400,28,370,359,11,7976,48,47,1,,,,,,,,,,1514,,,3951,52,,,,
1,King County Department of Transportation - Metro Transit Division,N,TB,DO,Average Typical Sunday,0,2400,51,779,758,21,6214,100,98,2,,,,,,,,,,3745,,,7899,58,,,,
1,King County Department of Transportation - Metro Transit Division,N,TB,DO,Average Typical Weekday,0,2400,131,11344,10912,432,11120,1657,1600,57,,,,,,,,,,73604,,,135789,255,,,,
