ntdid,Legacy NTD ID,name,reporter,Form Module Type,mode,servicetype,time,Time Service Begins,Time Service Ends,veh_oper,veh_avai,Vehicles/ Passenger Cars in Operation,vmt,vmt_rev,Actual Vehicles/ Passenger Deadhead Miles,Scheduled Actual Vehicles/ Passenger Car Revenue Miles,Actual Vehicles/ Passenger Car Hours,Actual Vehicles/ Passenger Car Revenue Hours,Actual Vehicles/ Passenger Car Deadhead Hours,Charter Service Hours,School Bus Hours,Trains in Operation,Train Miles,Train Revenue Miles,Train Deadhead Miles,Train Hours,Train Revenue Hours,Train Deadhead Hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service UPT,pmt,Days of Service Operated,Days Not Operated Due to Strikes,Strike Comment,Days Not Operated Due to Emergencies,Emergency Comment,Non-Statutory Mixed Traffic, DRM Mixed Traffic ROW 
40225,4225,Alamance County Transportation Authority,Reduced Reporter,Reduced Reporter,DR,DO,Annual Total,,,27,,,,647527,,,,45429,,,,,,,,,,,67690,,32443,,,,,,,,
40226,4226,"Mountain Projects, Inc.",Reduced Reporter,Reduced Reporter,DR,DO,Annual Total,,,17,,,,283820,,,,14864,,,,,,,,,,,39992,,39992,,,,,,,,
40227,4227,Onslow United Transit System,Reduced Reporter,Reduced Reporter,DR,DO,Annual Total,,,17,,,,748666,,,,40569,,,,,,,,,,,85054,,69956,,,,,,,,
40228,4228,Mecklenburg County DSS,Reduced Reporter,Reduced Reporter,DR,DO,Annual Total,,,22,,,,501273,,,,31103,,,,,,,,,,,70967,,57557,,,,,,,,
40228,4228,Mecklenburg County DSS,Reduced Reporter,Reduced Reporter,DT,PT,Annual Total,,,8,,,,1984360,,,,124412,,,,,,,,,,,269134,,48128,,,,,,,,
40229,4229,Henderson County/ Apple Country Public Transit,Reduced Reporter,Reduced Reporter,DR,PT,Annual Total,,,1,,,,23682,,,,1309,,,,,,,,,,,3280,,0,,,,,,,,
40229,4229,Henderson County/ Apple Country Public Transit,Reduced Reporter,Reduced Reporter,MB,PT,Annual Total,,,3,,,,169256,,,,8964,,,,,,,,,,,107331,,,,,,,,,,
40230,4230,City of Atlanta - Department of Public Works - Transit Division,Full Reporter,Full Reporter,SR,DO,Average Weekday - AM Peak,8:00:00,10:00:00,,,2,,,,,,,,,,2,,,,,,,0,,,,,,,,,,
40230,4230,City of Atlanta - Department of Public Works - Transit Division,Full Reporter,Full Reporter,SR,DO,Average Weekday - Midday,11:30:00,12:30:00,,,2,,,,,,,,,,2,,,,,,,0,,,,,,,,,,
40230,4230,City of Atlanta - Department of Public Works - Transit Division,Full Reporter,Full Reporter,SR,DO,Average Weekday - PM Peak,15:00:00,17:00:00,,,2,,,,,,,,,,2,,,,,,,0,,,,,,,,,,
40230,4230,City of Atlanta - Department of Public Works - Transit Division,Full Reporter,Full Reporter,SR,DO,Average Weekday - Other,,,,,2,,,,,,,,,,2,,,,,,,0,,,,,,,,,,
40230,4230,City of Atlanta - Department of Public Works - Transit Division,Full Reporter,Full Reporter,SR,DO,Average Typical Weekday,6:00:00,23:25:00,,,2,178,172,6,50,50,47,3,,,2,178,172,6,50,47,3,1783,,,1038,129,0,,,,,
40230,4230,City of Atlanta - Department of Public Works - Transit Division,Full Reporter,Full Reporter,SR,DO,Average Typical Saturday,8:30:00,1:00:00,,,2,189,170,19,49,49,48,1,,,2,189,170,19,49,48,1,3437,,,1931,26,0,,,,,
40230,4230,City of Atlanta - Department of Public Works - Transit Division,Full Reporter,Full Reporter,SR,DO,Average Typical Sunday,9:00:00,23:00:00,,,2,146,140,6,41,41,40,1,,,2,146,140,6,41,40,1,1800,,,1142,26,0,,,,,
40230,4230,City of Atlanta - Department of Public Works - Transit Division,Full Reporter,Full Reporter,SR,DO,Annual Total,,,3,3,,27924,26817,1107,27647,8716,8697,19,,,,27924,26817,1107,8716,8697,19,392906,,,447912,,,,,,,
40231,4231,Orange Public Transportation,Reduced Reporter,Reduced Reporter,DR,DO,Annual Total,,,6,,,,247565,,,,13193,,,,,,,,,,,40570,,23031,,,,,,,,
40231,4231,Orange Public Transportation,Reduced Reporter,Reduced Reporter,MB,DO,Annual Total,,,2,,,,63752,,,,2622,,,,,,,,,,,15935,,,,,,,,,,
40232,4232,Central Florida Commuter Rail,Full Reporter,Full Reporter,CR,PT,Average Weekday - AM Peak,5:00:00,10:00:00,,,12,,,,,,,,,,5,,,,,,,0,,,,,,,,,,
