company,route,state1,state2,state3,urban_area1,urban_area2,urban_area3,bus_arr,pass_arr,bus_dep,pass_dep,capacity,location,level
Rockland Coaches,Route 9AT to GWBBS and PABT,,,,,,,7,79.5,5,38,51.3,PABT,4-SW
Rockland Coaches,Route 9T/9AT to PABT,,,,,,,10,275,11,293,51.3,PABT,4-SW
Rockledge Bus,"Baltimore, MA",Maryland,,,"Baltimore, MD",,,11,536.0258077,11,427.6431962,42.75,133 East Broadway,
Rockledge Bus,"Dover, DE",Delaware,,,,,,3,129.9482343,3,105.0443999,42.75,133 East Broadway,
Rockledge Bus,"Norfolk, VA",Virginia,,,,,,4,171.3206001,5,199.339407,42.75,133 East Broadway,
Saddle River Tours,Route 11C to GWBBS,,,,,,,8,155,7,149,51.3,GWBBS,
Saddle River Tours,Route 20/84 to GWBBS,,,,,,,5,97,5,108,51.3,GWBBS,
Saddle River Tours,Route 55 - Bloomfield to Midtown,New Jersey,,,"New York--Newark, NY--NJ--CT",,,1,36.64,1,42.83333333,51.3,41 St & Broadway,
Shortline,Bergen County/Suffern - 17SF/RG/US,New Jersey,,,"New York--Newark, NY--NJ--CT",,,64,2330.573332,67,2324.652563,51.3,PABT,4-SW
Shortline,Catskills - Monticello/Kerhonkson/Wurtsboro,,,,,,,9,352,10,324,51.3,PABT,4-SW
Shortline,Hawley/Honesdale/Milford - PABT - x84-PA,Pennsylvania,,,,,,6,142,7,227,51.3,PABT,4-SW
Shortline,Nanuet/Exit 14 - Midtown Express,,,,,,,17,635,16,523,51.3,5 Av & 56 St,
Shortline,Orange - Chester/Goshen/Monroe/Middlet'n - 17C/G/M,,,,,,,47,1777,48,1776,51.3,PABT,4-SW
Shortline,"Orange - Newburgh/West Point/Stewart - x32N, x87N",,,,"Poughkeepsie--Newburgh, NY--NJ",,,20,837,17,604,51.3,PABT,4-SW
Shortline,Orange - Woodbury/W'bury Common/Central Valley,,,,,,,9,224,16,586,51.3,PABT,4-SW
Shortline,Poughkeepsie/Rhinebeck,,,,"Poughkeepsie--Newburgh, NY--NJ",,,5,181,5,133,51.3,PABT,4-SW
Shortline / Megabus,Binghamton/Ithaca,,,,,,,8,230,8,209,51.3,PABT,4-SW
Shun Feng,"State College, PA",Pennsylvania,,,,,,2,96.69070364,2,65.85914797,42.75,100 Lafayette St,
Sky Horse Bus,"Detroit, MI",Michigan,,,"Detroit, MI",,,1,50.04391151,1,41.56343652,42.75,156 East Broadway,
Spanish/Express Service,Bergenline/Jersey City - GWBBS,New Jersey,,,"New York--Newark, NY--NJ--CT",,,66,551,36,506,23.4,GWBBS,
Spanish/Express Service,Paterson - GWBBS,New Jersey,,,"New York--Newark, NY--NJ--CT",,,290,2942.403858,202,2472.375636,23.4,GWBBS,
Spanish/Express Service,Paterson - 8th Ave.,New Jersey,,,"New York--Newark, NY--NJ--CT",,,118,1405,149,2027,23.4,632 8 Av / W 41 St,
Spanish/Express Service,Paterson - PABT,New Jersey,,,"New York--Newark, NY--NJ--CT",,,86,886,206,730,23.4,PABT,LL-SW
Sphinx/Fuji/Galaxy Jitneys,Bergenline/Boulevard East - 42 St.,New Jersey,,,"New York--Newark, NY--NJ--CT",,,173,2088.606779,212,3200.556376,23.4,327 W 42nd Street,
Spring Tour Bus,Cincinnati / Louisville,Ohio,Kentucky,,"Cincinnati, OH--KY--IN","Louisville/Jefferson County, KY--IN",,2,94.9918943,2,84.25153861,42.75,19 Allen St,
Sprinter,VirginiaBeach,Virginia,,,,,,4,182.9762255,3,113.597897,42.75,201 W 37 St / 7 Av,
Star Line Express,Tampa,Florida,,,"Tampa--St. Petersburg, FL",,,2,101.2511342,2,85.21034161,42.75,95 Canal St,
Starlight Express/NYC Shuttle,"Charlottesville, VA",Virginia,,,,,,1,49.6165615,1,41.58052318,42.75,9 Av & 13 St,
Suburban Transit,200 - Hillsborough - Midtown,New Jersey,,,"New York--Newark, NY--NJ--CT",,,4,133.1854545,4,156.0757576,51.3,42 St & 1 Av,
Suburban Transit,400 - Turnpike Express - PABT,,,,,,,31,916,41,993.1904762,51.3,PABT,4-SW
Suburban Transit,500 - Crosstown Service - Midtown,,,,,,,30,1185,11,403,51.3,42 St & 1 Av,
Suburban Transit,600 - Downtowner,,,,,,,32,1100.866667,31,1061.963636,51.3,Greenwich/Morris,
Suburban Transit / Megabus,100 - Princeton - PABT,New Jersey,,,"New York--Newark, NY--NJ--CT",,,62,1831,64,2140,51.3,PABT,4-SW
Susquehanna Trailways,Sunbury/Williamsport,Pennsylvania,,,,,,2,64.28333333,2,66.33852259,42.75,PABT,LL-SW
Tennessee Travel,Tennessee,Tennessee,,,,,,1,50.04391151,1,42.91034238,42.75,19 Pike St,
Trans-Bridge Lines,Allentown/Bethlehem via I-78 - to PABT,Pennsylvania,,,,,,35,1395,35,1248,51.3,PABT,LL-SW
Trans-Bridge Lines,Allentown/Bethlehem via I-78 - to Wall St.,Pennsylvania,,,,,,7,252,7,230,51.3,Water St & Wall St,
Trans-Bridge Lines,Doylestown via Route 202 to PABT,Pennsylvania,,,,,,13,400,12,372,51.3,PABT,LL-SW
Trans-Bridge Lines,Sands Casino,Pennsylvania,,,,,,5,77,5,66,51.3,PABT,LL-SW
Tripper Bus,"Arlington, VA",Virginia,,,,,,9,449.8757936,8,322.9238794,42.75,313 W 31st St,
United Bus,Baltimore,Maryland,,,"Baltimore, MD",,,0,0,1,42.91034238,42.75,13 Allen St,
United Bus,Norfolk,Virginia,,,,,,4,171.3206001,4,158.4250078,42.75,13 Allen St,
United Bus,Philadelphia,Pennsylvania,,,"Philadelphia, PA--NJ--DE--MD",,,7,342.6205454,7,260.9422961,42.75,13 Allen St,
United Bus,Raleigh,North Carolina,,,"Raleigh, NC",,,1,38.68848859,1,40.91439924,42.75,13 Allen St,
United Bus,Savannah,Georgia,,,"Savannah, GA",,,1,48.66655552,1,42.68810208,42.75,13 Allen St,
Vamoose,"Arlington, VA",Virginia,,,,,,10,495.1260101,10,399.6156573,42.75,7 Av & 30 St,
Vamoose,"Bethesda, MD",Maryland,,,,,,7,348.3214349,8,324.0196296,42.75,7 Av & 30 St,
Washington Deluxe,Washington,District of Columbia,,,"Washington, DC--VA--MD",,,7,343.2642176,7,278.8806587,42.75,122 Allen St,
Y & H,Albany,,,,"Albany--Schenectady, NY",,,4,191.3091146,4,146.6331733,42.75,3 Allen St,
Y & H,Baltimore,Maryland,,,"Baltimore, MD",,,3,149.1075373,4,154.2058386,42.75,3 Allen St,
Y & H,Orlando,Florida,,,"Orlando, FL",,,2,97.53256149,2,85.59844446,42.75,3 Allen St,
Y & H,Raleigh,North Carolina,,,"Raleigh, NC",,,2,89.911376,2,84.47377891,42.75,3 Allen St,
Yo! Bus,Boston,Massachusetts,,,"Boston, MA--NH--RI",,,4,201.1816049,4,154.4038673,51.3,2 Pike St.,
Yo! Bus,Philadelphia,Pennsylvania,,,"Philadelphia, PA--NJ--DE--MD",,,4,200.5071495,4,167.5175424,51.3,2 Pike St.,
