id,UACE,areaname,state,statename,pop
113,65863,"Orlando, FL",FL,Florida,1510516
114,66673,"Oxnard, CA",CA,California,367260
115,67105,"Palm Bay--Melbourne, FL",FL,Florida,452791
116,67134,"Palm Coast--Daytona Beach--Port Orange, FL",FL,Florida,349064
117,68482,"Pensacola, FL--AL",FL,Florida,333801
118,68509,"Peoria, IL",IL,Illinois,266921
119,69076,"Philadelphia, PA--NJ--DE--MD",DE,Delaware,481625
120,69076,"Philadelphia, PA--NJ--DE--MD",NJ,New Jersey,1150865
121,69076,"Philadelphia, PA--NJ--DE--MD",PA,Pennsylvania,3760387
122,69184,"Phoenix--Mesa, AZ",AZ,Arizona,3629114
123,69697,"Pittsburgh, PA",PA,Pennsylvania,1733853
124,71263,"Portland, ME",ME,Maine,203914
125,71317,"Portland, OR--WA",OR,Oregon,1490336
126,71317,"Portland, OR--WA",WA,Washington,359562
127,71479,"Port St. Lucie, FL",FL,Florida,376047
128,71803,"Poughkeepsie--Newburgh, NY--NJ",NY,New York,412338
129,72505,"Providence, RI--MA",MA,Massachusetts,260276
130,72505,"Providence, RI--MA",RI,Rhode Island,930680
131,72559,"Provo--Orem, UT",UT,Utah,482819
132,73261,"Raleigh, NC",NC,North Carolina,884891
133,73693,"Reading, PA",PA,Pennsylvania,266254
134,74179,"Reno, NV--CA",NV,Nevada,392132
135,74746,"Richmond, VA",VA,Virginia,953556
136,75340,"Riverside--San Bernardino, CA",CA,California,1932666
137,75421,"Roanoke, VA",VA,Virginia,210111
138,75664,"Rochester, NY",NY,New York,720572
139,75718,"Rockford, IL",IL,Illinois,296863
140,76474,"Round Lake Beach--McHenry--Grayslake, IL--WI",IL,Illinois,259811
141,77068,"Sacramento, CA",CA,California,1723634
142,77770,"St. Louis, MO--IL",IL,Illinois,372895
143,77770,"St. Louis, MO--IL",MO,Missouri,1777811
144,78229,"Salem, OR",OR,Oregon,236632
145,78499,"Salt Lake City--West Valley City, UT",UT,Utah,1021243
146,78580,"San Antonio, TX",TX,Texas,1758210
147,78661,"San Diego, CA",CA,California,2956746
148,78904,"San Francisco--Oakland, CA",CA,California,3281212
149,79039,"San Jose, CA",CA,California,1664496
150,79309,"Santa Clarita, CA",CA,California,258653
151,79498,"Santa Rosa, CA",CA,California,308231
152,79606,"Sarasota--Bradenton, FL",FL,Florida,643260
153,79768,"Savannah, GA",GA,Georgia,260677
154,80227,"Scranton, PA",PA,Pennsylvania,381502
155,80389,"Seattle, WA",WA,Washington,3059393
156,81739,"Shreveport, LA",LA,Louisiana,298317
157,83116,"South Bend, IN--MI",IN,Indiana,241870
