state,statename,year,pop,area,pop_density
KY,Kentucky,2017,4454189,40410,110.2249196
LA,Louisiana,2017,4684333,51840,90.36136188
ME,Maine,2017,1335907,35385,37.75348311
MD,Maryland,2017,6052177,12407,487.8034174
MA,Massachusetts,2017,6859819,10555,649.9117954
MI,Michigan,2017,9962311,96716,103.0058212
MN,Minnesota,2017,5576606,86938,64.14463181
MS,Mississippi,2017,2984100,48431,61.61549421
MO,Missouri,2017,6113532,69704,87.70704694
MT,Montana,2017,1050493,147042,7.144169693
NE,Nebraska,2017,1920076,77358,24.82065203
NV,Nevada,2017,2998039,110560,27.11685058
NH,New Hampshire,2017,1342795,9350,143.6144385
NJ,New Jersey,2017,9005644,8722,1032.520523
NM,New Mexico,2017,2088070,121589,17.17318178
NY,New York,2017,19849399,54556,363.8353068
NC,North Carolina,2017,10273419,53818,190.8918763
ND,North Dakota,2017,755393,70700,10.68448373
OH,Ohio,2017,11658609,44825,260.0916676
OK,Oklahoma,2017,3930864,69899,56.23634101
OR,Oregon,2017,4142776,98380,42.10994104
PA,Pennsylvania,2017,12805537,46056,278.0427523
RI,Rhode Island,2017,1059639,1545,685.8504854
SC,South Carolina,2017,5024369,32020,156.9134603
SD,South Dakota,2017,869666,77121,11.2766432
TN,Tennessee,2017,6715984,42144,159.3580106
TX,Texas,2017,28304596,268580,105.3860898
UT,Utah,2017,3101833,84898,36.53599614
VT,Vermont,2017,623657,9615,64.86292252
VA,Virginia,2017,8470020,42774,198.0179548
WA,Washington,2017,7405743,71300,103.8673633
WV,West Virginia,2017,1815857,24230,74.94250929
WI,Wisconsin,2017,5795483,65498,88.48335827
WY,Wyoming,2017,579315,97813,5.92267899
