state,statename,year,gdp_all,gdp_transit
IL,Illinois,2015,778353,1874
IN,Indiana,2015,333436,322
IA,Iowa,2015,180511,131
KS,Kansas,2015,151677,167
KY,Kentucky,2015,190832,161
LA,Louisiana,2015,242059,323
ME,Maine,2015,57242,108
MD,Maryland,2015,365162,889
MA,Massachusetts,2015,490402,1674
MI,Michigan,2015,470289,439
MN,Minnesota,2015,326221,731
MS,Mississippi,2015,106207,67
MO,Missouri,2015,291764,435
MT,Montana,2015,46179,60
NE,Nebraska,2015,116111,84
NV,Nevada,2015,142081,1423
NH,New Hampshire,2015,75162,164
NJ,New Jersey,2015,563616,1815
NM,New Mexico,2015,92987,125
NY,New York,2015,1458253,7744
NC,North Carolina,2015,502077,447
ND,North Dakota,2015,56253,78
OH,Ohio,2015,611350,553
OK,Oklahoma,2015,189612,75
OR,Oregon,2015,215940,434
PA,Pennsylvania,2015,709722,1573
RI,Rhode Island,2015,56197,133
SC,South Carolina,2015,202807,152
SD,South Dakota,2015,47231,58
TN,Tennessee,2015,317325,415
TX,Texas,2015,1611958,1427
UT,Utah,2015,149515,157
VT,Vermont,2015,30299,65
VA,Virginia,2015,479669,904
WA,Washington,2015,453186,585
WV,West Virginia,2015,72583,20
WI,Wisconsin,2015,303826,1127
WY,Wyoming,2015,39474,38
AL,Alabama,2016,204201,97
AK,Alaska,2016,50542,126
AZ,Arizona,2016,304357,662
AR,Arkansas,2016,121275,79
CA,California,2016,2619639,5341
CO,Colorado,2016,323762,446
CT,Connecticut,2016,257038,899
DE,Delaware,2016,70927,87
DC,District of Columbia,2016,125871,115
FL,Florida,2016,930375,1240
GA,Georgia,2016,532657,423
HI,Hawaii,2016,84904,206
ID,Idaho,2016,68616,86
IL,Illinois,2016,796906,1853
IN,Indiana,2016,345207,313
IA,Iowa,2016,186200,134
KS,Kansas,2016,154806,171
KY,Kentucky,2016,195527,154
LA,Louisiana,2016,237598,325
ME,Maine,2016,59475,112
MD,Maryland,2016,380805,884
MA,Massachusetts,2016,505689,1720
MI,Michigan,2016,486874,465
MN,Minnesota,2016,338746,745
MS,Mississippi,2016,109034,66
MO,Missouri,2016,297074,429
MT,Montana,2016,46478,55
NE,Nebraska,2016,118945,88
NV,Nevada,2016,148216,1131
NH,New Hampshire,2016,77843,168
NJ,New Jersey,2016,576228,1790
NM,New Mexico,2016,93242,114
NY,New York,2016,1500152,7828
NC,North Carolina,2016,518378,432
ND,North Dakota,2016,53328,65
OH,Ohio,2016,624372,562
OK,Oklahoma,2016,181480,65
OR,Oregon,2016,227032,450
PA,Pennsylvania,2016,723962,1591
RI,Rhode Island,2016,57507,135
SC,South Carolina,2016,210876,150
SD,South Dakota,2016,48652,60
TN,Tennessee,2016,332094,442
TX,Texas,2016,1601517,1397
UT,Utah,2016,157404,165
VT,Vermont,2016,31292,65
VA,Virginia,2016,491221,920
WA,Washington,2016,476934,608
WV,West Virginia,2016,72569,24
WI,Wisconsin,2016,314247,1124
WY,Wyoming,2016,37925,33
